series,value,density
actual_kde,123.39497834097817,0.0010535629516658642
actual_kde,124.37339553524461,0.0010597229512998001
actual_kde,125.35181272951105,0.0010652132590438749
actual_kde,126.3302299237775,0.0010700511421926678
actual_kde,127.30864711804394,0.0010742568527386126
actual_kde,128.28706431231038,0.0010778535004097355
actual_kde,129.2654815065768,0.0010808669051745156
actual_kde,130.24389870084326,0.0010833254301658628
actual_kde,131.2223158951097,0.0010852597961613147
actual_kde,132.20073308937614,0.0010867028789348881
actual_kde,133.17915028364257,0.001087689490965788
actual_kde,134.15756747790903,0.0010882561491487243
actual_kde,135.13598467217545,0.0010884408302982314
actual_kde,136.1144018664419,0.0010882827163736267
actual_kde,137.09281906070834,0.001087821931470657
actual_kde,138.0712362549748,0.00108709927272917
actual_kde,139.04965344924122,0.001086155937392166
actual_kde,140.02807064350768,0.0010850332483193156
actual_kde,141.0064878377741,0.0010837723803066683
actual_kde,141.98490503204056,0.0010824140895931288
actual_kde,142.96332222630699,0.0010809984489428812
actual_kde,143.94173942057344,0.0010795645906809647
actual_kde,144.92015661483987,0.00107815046002659
actual_kde,145.89857380910632,0.0010767925810155224
actual_kde,146.87699100337275,0.0010755258372293155
actual_kde,147.8554081976392,0.0010743832694556797
actual_kde,148.83382539190563,0.001073395892291577
actual_kde,149.8122425861721,0.0010725925315694246
actual_kde,150.79065978043852,0.0010719996843381286
actual_kde,151.76907697470497,0.0010716414029656193
actual_kde,152.7474941689714,0.0010715392047494447
actual_kde,153.72591136323786,0.0010717120082281513
actual_kde,154.70432855750428,0.0010721760971802372
actual_kde,155.68274575177074,0.0010729451130809474
actual_kde,156.66116294603717,0.001074030076561936
actual_kde,157.63958014030362,0.0010754394381865128
actual_kde,158.61799733457005,0.0010771791586158042
actual_kde,159.5964145288365,0.0010792528180004997
actual_kde,160.57483172310293,0.001081661754190899
actual_kde,161.5532489173694,0.0010844052291166459
actual_kde,162.53166611163581,0.0010874806224487363
actual_kde,163.51008330590227,0.0010908836514220309
actual_kde,164.4885005001687,0.0010946086154684572
actual_kde,165.46691769443515,0.0010986486640911122
actual_kde,166.44533488870158,0.0011029960861993224
actual_kde,167.42375208296804,0.0011076426189260385
actual_kde,168.40216927723446,0.001112579773763236
actual_kde,169.38058647150092,0.001117799177679741
actual_kde,170.35900366576735,0.0011232929267303551
actual_kde,171.3374208600338,0.0011290539495265955
actual_kde,172.31583805430023,0.0011350763778187043
actual_kde,173.29425524856669,0.0011413559213368605
actual_kde,174.2726724428331,0.00114789024395742
actual_kde,175.25108963709957,0.0011546793381981414
actual_kde,176.229506831366,0.0011617258950052005
actual_kde,177.20792402563245,0.0011690356657746508
actual_kde,178.18634121989888,0.0011766178135519847
actual_kde,179.16475841416533,0.001184485250375643
actual_kde,180.14317560843176,0.0011926549577734866
actual_kde,181.12159280269822,0.0012011482874852123
actual_kde,182.10000999696464,0.001209991239567921
actual_kde,183.0784271912311,0.0012192147151461003
actual_kde,184.05684438549753,0.0012288547411903866
actual_kde,185.03526157976398,0.0012389526648509586
actual_kde,186.0136787740304,0.0012495553150302578
actual_kde,186.99209596829687,0.0012607151290550888
actual_kde,187.9705131625633,0.001272490242498808
actual_kde,188.94893035682975,0.0012849445404092578
actual_kde,189.92734755109618,0.0012981476684159508
actual_kde,190.9057647453626,0.0013121750024196561
actual_kde,191.88418193962906,0.0013271075758074845
actual_kde,192.86259913389551,0.0013430319633855414
actual_kde,193.84101632816194,0.001360040121477763
actual_kde,194.81943352242837,0.001378229183902237
actual_kde,195.79785071669482,0.0013977012138036322
actual_kde,196.77626791096128,0.0014185629115909472
actual_kde,197.7546851052277,0.001440925279502037
actual_kde,198.73310229949413,0.001464903243588889
actual_kde,199.7115194937606,0.0014906152341888593
actual_kde,200.68993668802705,0.0015181827262156459
actual_kde,201.66835388229347,0.0015477297408681171
actual_kde,202.6467710765599,0.0015793823106138964
actual_kde,203.62518827082636,0.001613267909556278
actual_kde,204.6036054650928,0.0016495148515363713
actual_kde,205.58202265935924,0.001688251658555859
actual_kde,206.56043985362567,0.0017296064023281058
actual_kde,207.53885704789212,0.001773706021975267
actual_kde,208.51727424215858,0.0018206756210853066
actual_kde,209.495691436425,0.0018706377475241492
actual_kde,210.47410863069143,0.0019237116595634122
actual_kde,211.4525258249579,0.0019800125820322286
actual_kde,212.43094301922434,0.002039650956331418
actual_kde,213.40936021349077,0.00210273168825883
actual_kde,214.3877774077572,0.002169353397684983
actual_kde,215.36619460202365,0.0022396076741874565
actual_kde,216.3446117962901,0.0023135783427999687
actual_kde,217.32302899055654,0.0023913407440571558
actual_kde,218.30144618482296,0.0024729610325180027
actual_kde,219.27986337908942,0.002558495497929387
actual_kde,220.25828057335588,0.0026479899131457395
actual_kde,221.2366977676223,0.002741478912851418
actual_kde,222.21511496188873,0.0028389854070385947
actual_kde,223.1935321561552,0.0029405200330757113
actual_kde,224.17194935042164,0.0030460806500596576
actual_kde,225.15036654468807,0.0031556518789795074
actual_kde,226.1287837389545,0.0032692046920310166
actual_kde,227.10720093322095,0.0033866960542100802
actual_kde,228.0856181274874,0.003508068620080781
actual_kde,229.06403532175383,0.003633250488360269
actual_kde,230.04245251602026,0.0037621550166900227
actual_kde,231.02086971028672,0.0038946806986720145
actual_kde,231.99928690455317,0.004030711104940788
actual_kde,232.9777040988196,0.0041701148897197145
actual_kde,233.95612129308603,0.00431274586397381
actual_kde,234.93453848735248,0.004458443135924193
actual_kde,235.91295568161894,0.00460703131933284
