series,predicted,residual
point,42.2501821820918,-2.250182182091798
point,45.498127263778045,75.50187273622196
point,55.87993785317386,94.12006214682614
point,42.2501821820918,-32.5501821820918
point,42.313886840005644,-34.11388684000565
point,42.33704291439419,-34.73704291439419
point,42.349685704038464,-31.449685704038465
point,42.2501821820918,24.3298178179082
point,42.26599007072115,-4.765990070721152
point,42.28585298124405,-5.785852981244048
point,42.31015138473789,-7.3101513847378925
point,42.33556109784081,-5.135561097840807
point,42.2501821820918,-16.430182182091798
point,42.423035161698785,-19.423035161698785
