series,value,grid_x,density
original_kde,,1.5704697986577183,0.09772228118802917
original_kde,,1.691275167785235,0.09715603925947768
original_kde,,1.8120805369127517,0.09647724830643505
original_kde,,1.9328859060402686,0.09568897342855652
original_kde,,2.053691275167785,0.09479465212675368
original_kde,,2.174496644295302,0.09379807103741718
original_kde,,2.295302013422819,0.09270334092578185
original_kde,,2.4161073825503356,0.0915148701733042
original_kde,,2.5369127516778525,0.09023733700170075
original_kde,,2.6577181208053693,0.08887566068119404
original_kde,,2.778523489932886,0.08743497197254871
original_kde,,2.899328859060403,0.08592058305171352
original_kde,,3.0201342281879198,0.08433795716241219
original_kde,,3.1409395973154366,0.0826926782359825
original_kde,,3.261744966442953,0.08099042070930951
original_kde,,3.38255033557047,0.07923691976103564
original_kde,,3.5033557046979866,0.07743794217357144
original_kde,,3.6241610738255035,0.07559925801401968
original_kde,,3.7449664429530203,0.07372661331121776
original_kde,,3.865771812080537,0.07182570388896556
original_kde,,3.986577181208054,0.06990215049741555
original_kde,,4.10738255033557,0.06796147536583344
original_kde,,4.228187919463087,0.06600908028076997
original_kde,,4.348993288590604,0.06405022627438231
original_kde,,4.469798657718121,0.062090014988468764
original_kde,,4.590604026845638,0.06013337176097577
original_kde,,4.7114093959731544,0.058185030463528895
original_kde,,4.832214765100671,0.05624952010113698
original_kde,,4.953020134228188,0.054331153168803
original_kde,,5.073825503355705,0.052434015744509475
original_kde,,5.194630872483222,0.05056195928405919
original_kde,,5.315436241610739,0.0487185940706557
original_kde,,5.436241610738255,0.04690728426097632
original_kde,,5.557046979865772,0.04513114445987999
original_kde,,5.677852348993289,0.04339303774782554
original_kde,,5.798657718120806,0.04169557507855431
original_kde,,5.919463087248323,0.040041115959589105
original_kde,,6.0402684563758395,0.038431770324572574
original_kde,,6.161073825503356,0.036869401504344014
original_kde,,6.281879194630873,0.03535563020284867
original_kde,,6.40268456375839,0.033891839384385836
original_kde,,6.523489932885906,0.0324791799802165
original_kde,,6.644295302013423,0.031118577325041488
original_kde,,6.76510067114094,0.029810738237196377
original_kde,,6.885906040268456,0.02855615866044766
original_kde,,7.006711409395973,0.027355131789879687
original_kde,,7.12751677852349,0.02620775660939055
original_kde,,7.248322147651007,0.02511394677363188
original_kde,,7.369127516778524,0.024073439772699788
original_kde,,7.489932885906041,0.0230858063233873
original_kde,,7.610738255033557,0.022150459936226878
original_kde,,7.731543624161074,0.02126666661278008
original_kde,,7.852348993288591,0.020433554632576914
original_kde,,7.973154362416108,0.019650124393690273
original_kde,,8.093959731543624,0.018915258275085275
original_kde,,8.21476510067114,0.01822773049255711
original_kde,,8.335570469798657,0.017586216923228416
original_kde,,8.456375838926174,0.016989304876194405
original_kde,,8.577181208053691,0.01643550278897435
original_kde,,8.697986577181208,0.015923249830956644
original_kde,,8.818791946308725,0.015450925396030123
original_kde,,8.939597315436242,0.015016858467107982
original_kde,,9.060402684563758,0.014619336835313813
original_kde,,9.181208053691275,0.014256616156263445
original_kde,,9.302013422818792,0.013926928825201048
original_kde,,9.422818791946309,0.013628492651799575
original_kde,,9.543624161073826,0.013359519314285386
original_kde,,9.664429530201343,0.013118222571269864
original_kde,,9.78523489932886,0.01290282620834346
original_kde,,9.906040268456376,0.012711571695187206
