series,predicted,residual
point,36.44462529155247,3.5553747084475305
point,120.97517506636214,0.024824933637859203
point,149.86619447075972,0.1338055292402771
point,36.44462529155247,-26.74462529155247
point,25.56973587508444,-17.36973587508444
point,18.70639544577375,-11.106395445773751
point,15.5641972289589,-4.6641972289588995
point,36.44462529155247,30.13537470844753
point,34.265352018000854,3.234647981999146
point,31.14857809807455,5.351421901925448
point,26.4320015566926,8.567998443307399
point,19.2362909393752,17.963709060624804
point,36.44462529155481,-10.624625291554807
point,21.247158959186905,1.7528410408130952
