series,sorted_index,sorted_actual,sorted_predicted,smoothed_actual,smoothed_predicted,between_curves_lo,between_curves_hi
sorted_curves,0.0,27.0,27.2509879060836,21.85594405594408,24.543145740191452,21.85594405594408,24.543145740191452
sorted_curves,1.0,37.0,37.19945790630108,43.02517482517486,48.66848399518808,43.02517482517486,48.66848399518808
sorted_curves,2.0,50.0,76.69871598941064,58.255944055944106,64.86437060002667,58.255944055944106,64.86437060002667
sorted_curves,3.0,77.0,76.69871598941064,68.59650349650356,74.5993380196024,68.59650349650356,74.5993380196024
sorted_curves,4.0,78.0,76.69871598941064,75.09510489510497,79.34191871881046,75.09510489510497,79.34191871881046
sorted_curves,5.0,79.0,76.69871598941064,78.80000000000021,80.56064516254611,78.80000000000021,80.56064516254611
sorted_curves,6.0,80.0,77.98818490719272,82.27552447552469,80.39992017983936,80.39992017983936,82.27552447552469
sorted_curves,7.0,82.0,78.98303190721447,84.05734265734289,78.32798956704457,78.32798956704457,84.05734265734289
sorted_curves,8.0,82.8,79.97787890723622,84.63193473193495,80.72312246948624,80.72312246948624,84.63193473193495
sorted_curves,9.0,83.0,81.96757290727972,87.86899766899766,83.49563590475326,83.49563590475326,87.86899766899766
sorted_curves,10.0,95.0,82.96241990730145,91.0962703962704,86.72005844740255,86.72005844740255,91.0962703962704
sorted_curves,11.0,96.0,94.90058390756242,94.03216783216781,90.28808430003706,90.28808430003706,94.03216783216781
sorted_curves,12.0,96.1,95.89543090758417,96.39510489510486,94.09140766525988,94.09140766525988,96.39510489510486
sorted_curves,13.0,97.0,95.99491560758634,97.90349650349646,98.02172274567414,97.90349650349646,98.02172274567414
