series,predicted,residual
point,70.89583333333333,-2.8958333333333286
point,63.48,0.5200000000000031
point,61.83,-3.8299999999999983
point,70.89583333333333,2.1041666666666714
point,70.4725,4.527500000000003
point,75.625,3.375
point,74.795,-0.7950000000000017
point,70.89583333333333,6.304166666666674
point,55.11391666666667,-4.913916666666665
point,45.09975000000002,-12.399750000000019
point,71.48750000000003,10.91249999999998
point,74.67999999999998,-3.4799999999999756
point,70.89583333333333,-4.095833333333331
point,73.32499999999996,-0.7249999999999659
