series,residual
residual_sample,34.793718299404134
residual_sample,-23.675867650830014
residual_sample,8.219239632896802
residual_sample,26.793718299404134
residual_sample,24.744908993748027
residual_sample,25.937784958285704
residual_sample,-8.69100759090179
residual_sample,42.793718299404134
residual_sample,-64.52120595357081
residual_sample,-132.0052174715626
residual_sample,36.9904296290394
residual_sample,-11.23452755505042
residual_sample,10.693718299404111
residual_sample,29.160589810329384
