series,predicted,residual
point,59.46233559281136,8.537664407188643
point,37.114034230165835,26.885965769834165
point,32.44429336695425,25.55570663304575
point,59.46233559281136,13.537664407188643
point,65.29669982556273,9.703300174437274
point,67.05614857012141,11.943851429878592
point,65.39556463229538,8.604435367704625
point,59.46233559281136,17.737664407188646
point,60.797224788384355,-10.597224788384352
point,62.58261158305304,-29.882611583053034
point,64.92781840641577,17.47218159358424
point,67.03900541642457,4.16099458357543
point,59.46233559281136,7.33766440718864
point,55.45805887778158,17.141941122218412
