series,residual
residual_sample,1.7222222222222285
residual_sample,-3.6555555555555657
residual_sample,-9.655555555555566
residual_sample,6.7222222222222285
residual_sample,7.36666666666666
residual_sample,10.699999999999989
residual_sample,5.744444444444454
residual_sample,10.922222222222231
residual_sample,-16.07777777777777
residual_sample,-33.57777777777777
residual_sample,16.122222222222234
residual_sample,2.8999999999999915
residual_sample,0.5222222222222257
residual_sample,4.344444444444434
