series,residual
residual_sample,-30.19999999999999
residual_sample,-38.01111111111112
residual_sample,-48.01111111111112
residual_sample,16.80000000000001
residual_sample,14.322222222222223
residual_sample,9.422222222222217
residual_sample,9.87777777777778
residual_sample,-3.1999999999999886
residual_sample,-2.1999999999999886
residual_sample,-1.1999999999999886
residual_sample,1.8000000000000114
residual_sample,-6.677777777777777
residual_sample,2.6000000000000085
residual_sample,-2.12222222222222
