series,sorted_index,sorted_actual,sorted_predicted,smoothed_actual,smoothed_predicted,between_curves_lo,between_curves_hi
sorted_curves,0.0,32.7,66.43049511873672,34.465034965035024,66.57573153235818,34.465034965035024,66.57573153235818
sorted_curves,1.0,50.2,67.27612728226411,47.732867132867185,67.08695452743049,47.732867132867185,67.08695452743049
sorted_curves,2.0,58.0,67.52495763683118,57.30489510489516,67.41016729309223,57.30489510489516,67.41016729309223
sorted_curves,3.0,64.0,67.53004432371633,63.806759906759964,67.58192372977392,63.806759906759964,67.58192372977392
sorted_curves,4.0,66.8,67.53051575625311,67.86410256410264,67.63877773790615,67.63877773790615,67.86410256410264
sorted_curves,5.0,68.0,67.53057698721332,70.10256410256429,67.6172832179196,67.6172832179196,70.10256410256429
sorted_curves,6.0,71.2,67.53177653737616,71.03962703962722,67.5528774557682,67.5528774557682,71.03962703962722
sorted_curves,7.0,72.6,67.53201445808071,72.14498834498853,67.53310907763193,67.53310907763193,72.14498834498853
sorted_curves,8.0,73.0,67.53365127577958,73.02983682983702,67.53373592371776,67.53373592371776,73.02983682983702
sorted_curves,9.0,74.0,67.53505512275595,74.08857808857809,67.53484210914333,67.53484210914333,74.08857808857809
sorted_curves,10.0,75.0,67.53619637524827,75.34242424242424,67.53576285473056,67.53576285473056,75.34242424242424
sorted_curves,11.0,77.2,67.53619637524827,76.9888111888112,67.53636136061768,67.53636136061768,76.9888111888112
sorted_curves,12.0,79.0,67.53619637524827,79.22517482517485,67.53650082694301,67.53650082694301,79.22517482517485
sorted_curves,13.0,82.4,67.53619637524827,82.24895104895107,67.53604445384492,67.53604445384492,82.24895104895107
