series,predicted,residual
point,82.09727905532603,-32.09727905532603
point,56.622903732185605,-19.622903732185605
point,19.14115133425056,7.858848665749441
point,82.09727905532603,14.902720944673973
point,82.50923290245495,13.490767097545046
point,82.40259208552668,13.697407914473317
point,81.83771858829536,13.16228141170464
point,82.09727905532603,-5.097279055326027
point,82.21342069603129,-4.213420696031292
point,82.35326570606645,-3.353265706066452
point,82.49469418673111,-0.49469418673110965
point,82.43387663783315,-2.4338766378331513
point,82.09727905532603,0.7027209446739704
point,79.50202790932093,3.4979720906790703
