series,actual,predicted
point,40.0,28.401013406233194
point,121.0,112.83218705984785
point,150.0,155.0477738866552
point,9.7,28.401013406233194
point,8.2,36.14053765781454
point,7.6,43.17646879561576
point,10.9,50.21239993341698
point,66.58,28.401013406233194
point,37.5,29.80819963379344
point,36.5,31.918978975133808
point,35.0,35.43694454403442
point,37.2,42.47287568183564
point,25.82,28.401013406233194
point,23.0,63.58066909523931
parity_reference,7.6,7.6
parity_reference,8.340943587370127,8.340943587370127
parity_reference,9.081887174740253,9.081887174740253
parity_reference,9.82283076211038,9.82283076211038
parity_reference,10.563774349480507,10.563774349480507
parity_reference,11.304717936850633,11.304717936850633
parity_reference,12.04566152422076,12.04566152422076
parity_reference,12.786605111590887,12.786605111590887
parity_reference,13.527548698961013,13.527548698961013
parity_reference,14.268492286331139,14.268492286331139
parity_reference,15.009435873701266,15.009435873701266
parity_reference,15.750379461071393,15.750379461071393
parity_reference,16.491323048441522,16.491323048441522
parity_reference,17.232266635811648,17.232266635811648
parity_reference,17.973210223181773,17.973210223181773
parity_reference,18.7141538105519,18.7141538105519
parity_reference,19.455097397922025,19.455097397922025
parity_reference,20.196040985292154,20.196040985292154
parity_reference,20.93698457266228,20.93698457266228
parity_reference,21.67792816003241,21.67792816003241
parity_reference,22.418871747402534,22.418871747402534
parity_reference,23.15981533477266,23.15981533477266
parity_reference,23.900758922142785,23.900758922142785
parity_reference,24.64170250951291,24.64170250951291
parity_reference,25.382646096883043,25.382646096883043
parity_reference,26.12358968425317,26.12358968425317
parity_reference,26.864533271623294,26.864533271623294
parity_reference,27.60547685899342,27.60547685899342
parity_reference,28.346420446363545,28.346420446363545
parity_reference,29.08736403373367,29.08736403373367
parity_reference,29.828307621103797,29.828307621103797
parity_reference,30.56925120847393,30.56925120847393
parity_reference,31.310194795844055,31.310194795844055
parity_reference,32.05113838321418,32.05113838321418
parity_reference,32.792081970584306,32.792081970584306
parity_reference,33.53302555795443,33.53302555795443
parity_reference,34.27396914532456,34.27396914532456
parity_reference,35.01491273269469,35.01491273269469
parity_reference,35.755856320064815,35.755856320064815
parity_reference,36.49679990743494,36.49679990743494
parity_reference,37.237743494805066,37.237743494805066
parity_reference,37.97868708217519,37.97868708217519
parity_reference,38.71963066954532,38.71963066954532
parity_reference,39.46057425691544,39.46057425691544
parity_reference,40.201517844285576,40.201517844285576
parity_reference,40.9424614316557,40.9424614316557
parity_reference,41.68340501902583,41.68340501902583
parity_reference,42.42434860639595,42.42434860639595
parity_reference,43.165292193766085,43.165292193766085
parity_reference,43.90623578113621,43.90623578113621
parity_reference,44.647179368506336,44.647179368506336
parity_reference,45.38812295587646,45.38812295587646
parity_reference,46.12906654324659,46.12906654324659
parity_reference,46.87001013061671,46.87001013061671
parity_reference,47.61095371798684,47.61095371798684
parity_reference,48.35189730535697,48.35189730535697
parity_reference,49.0928408927271,49.0928408927271
parity_reference,49.83378448009722,49.83378448009722
parity_reference,50.57472806746735,50.57472806746735
parity_reference,51.31567165483747,51.31567165483747
parity_reference,52.0566152422076,52.0566152422076
parity_reference,52.79755882957773,52.79755882957773
parity_reference,53.53850241694786,53.53850241694786
parity_reference,54.27944600431798,54.27944600431798
parity_reference,55.02038959168811,55.02038959168811
parity_reference,55.761333179058234,55.761333179058234
parity_reference,56.50227676642836,56.50227676642836
parity_reference,57.243220353798485,57.243220353798485
parity_reference,57.98416394116862,57.98416394116862
parity_reference,58.72510752853874,58.72510752853874
parity_reference,59.46605111590887,59.46605111590887
parity_reference,60.206994703278994,60.206994703278994
parity_reference,60.94793829064912,60.94793829064912
parity_reference,61.688881878019245,61.688881878019245
parity_reference,62.42982546538938,62.42982546538938
parity_reference,63.1707690527595,63.1707690527595
parity_reference,63.91171264012963,63.91171264012963
parity_reference,64.65265622749975,64.65265622749975
parity_reference,65.39359981486987,65.39359981486987
parity_reference,66.13454340224,66.13454340224
parity_reference,66.87548698961012,66.87548698961012
parity_reference,67.61643057698026,67.61643057698026
parity_reference,68.35737416435039,68.35737416435039
parity_reference,69.09831775172051,69.09831775172051
parity_reference,69.83926133909064,69.83926133909064
parity_reference,70.58020492646077,70.58020492646077
parity_reference,71.32114851383089,71.32114851383089
parity_reference,72.06209210120102,72.06209210120102
parity_reference,72.80303568857114,72.80303568857114
parity_reference,73.54397927594127,73.54397927594127
parity_reference,74.2849228633114,74.2849228633114
parity_reference,75.02586645068152,75.02586645068152
parity_reference,75.76681003805164,75.76681003805164
parity_reference,76.50775362542177,76.50775362542177
parity_reference,77.2486972127919,77.2486972127919
parity_reference,77.98964080016202,77.98964080016202
parity_reference,78.73058438753216,78.73058438753216
parity_reference,79.47152797490229,79.47152797490229
parity_reference,80.21247156227241,80.21247156227241
parity_reference,80.95341514964254,80.95341514964254
parity_reference,81.69435873701266,81.69435873701266
parity_reference,82.43530232438279,82.43530232438279
parity_reference,83.17624591175291,83.17624591175291
parity_reference,83.91718949912304,83.91718949912304
parity_reference,84.65813308649317,84.65813308649317
parity_reference,85.39907667386329,85.39907667386329
parity_reference,86.14002026123342,86.14002026123342
parity_reference,86.88096384860354,86.88096384860354
parity_reference,87.62190743597367,87.62190743597367
parity_reference,88.36285102334381,88.36285102334381
parity_reference,89.10379461071393,89.10379461071393
parity_reference,89.84473819808406,89.84473819808406
parity_reference,90.58568178545418,90.58568178545418
parity_reference,91.32662537282431,91.32662537282431
parity_reference,92.06756896019444,92.06756896019444
parity_reference,92.80851254756456,92.80851254756456
parity_reference,93.54945613493469,93.54945613493469
parity_reference,94.29039972230481,94.29039972230481
parity_reference,95.03134330967494,95.03134330967494
parity_reference,95.77228689704506,95.77228689704506
parity_reference,96.51323048441519,96.51323048441519
parity_reference,97.25417407178531,97.25417407178531
parity_reference,97.99511765915545,97.99511765915545
parity_reference,98.73606124652558,98.73606124652558
parity_reference,99.4770048338957,99.4770048338957
parity_reference,100.21794842126583,100.21794842126583
parity_reference,100.95889200863596,100.95889200863596
parity_reference,101.69983559600608,101.69983559600608
parity_reference,102.44077918337621,102.44077918337621
parity_reference,103.18172277074633,103.18172277074633
parity_reference,103.92266635811646,103.92266635811646
parity_reference,104.66360994548658,104.66360994548658
parity_reference,105.40455353285671,105.40455353285671
parity_reference,106.14549712022684,106.14549712022684
