series,predicted,residual
point,43.50000000000001,-3.500000000000007
point,43.50000000000001,77.5
point,43.50000000000001,106.5
point,43.50000000000001,-33.80000000000001
point,43.50000000000001,-35.30000000000001
point,43.50000000000001,-35.900000000000006
point,43.50000000000001,-32.60000000000001
point,43.50000000000001,23.07999999999999
point,43.50000000000001,-6.000000000000007
point,43.50000000000001,-7.000000000000007
point,43.50000000000001,-8.500000000000007
point,43.50000000000001,-6.300000000000004
point,43.50000000000001,-17.680000000000007
point,43.50000000000001,-20.500000000000007
