series,actual,residual
point,40.0,-3.500000000000007
point,121.0,77.5
point,150.0,106.5
point,9.7,-33.80000000000001
point,8.2,-35.30000000000001
point,7.6,-35.900000000000006
point,10.9,-32.60000000000001
point,66.58,23.07999999999999
point,37.5,-6.000000000000007
point,36.5,-7.000000000000007
point,35.0,-8.500000000000007
point,37.2,-6.300000000000004
point,25.82,-17.680000000000007
point,23.0,-20.500000000000007
