series,sorted_index,sorted_actual,sorted_predicted,smoothed_actual,smoothed_predicted,between_curves_lo,between_curves_hi
sorted_curves,0.0,123.4,123.4,128.61748251748296,125.87209790209819,125.87209790209819,128.61748251748296
sorted_curves,1.0,187.8,187.8,191.93566433566465,196.0810722610725,191.93566433566465,196.0810722610725
sorted_curves,2.0,258.0,266.0,234.46806526806552,242.9335198135201,234.46806526806552,242.9335198135201
sorted_curves,3.0,260.0,270.0,260.1615384615387,270.69836052836087,260.1615384615387,270.69836052836087
sorted_curves,4.0,260.9,274.75,272.9629370629374,283.64451437451476,272.9629370629374,283.64451437451476
sorted_curves,5.0,269.0,277.0,276.81911421911497,286.0409013209021,276.81911421911497,286.0409013209021
sorted_curves,6.0,270.0,279.6333333333333,277.68601398601476,284.3118026418034,277.68601398601476,284.3118026418034
sorted_curves,7.0,277.0,279.6333333333333,277.2792540792548,279.64882672882743,277.2792540792548,279.64882672882743
sorted_curves,8.0,285.0,279.6333333333333,281.063403263404,278.25290598290667,278.25290598290667,281.063403263404
sorted_curves,9.0,286.0,279.6333333333333,285.5522144522146,278.09647241647247,278.09647241647247,285.5522144522146
sorted_curves,10.0,293.0,283.52,290.73682983683,280.17407148407153,280.17407148407153,290.73682983683
sorted_curves,11.0,296.0,286.0,296.93846153846164,285.75389277389286,285.75389277389286,296.93846153846164
sorted_curves,12.0,297.3,286.0,304.4783216783217,296.10412587412594,296.10412587412594,304.4783216783217
sorted_curves,13.0,318.1,318.1,313.6776223776223,312.49296037296034,312.49296037296034,313.6776223776223
