series,sorted_index,sorted_actual,sorted_predicted,smoothed_actual,smoothed_predicted,between_curves_lo,between_curves_hi
sorted_curves,0.0,27.0,29.098164072485417,21.85594405594408,29.252472370208444,21.85594405594408,29.252472370208444
sorted_curves,1.0,37.0,48.01195256481019,43.02517482517486,50.60433196655548,43.02517482517486,50.60433196655548
sorted_curves,2.0,50.0,70.07803913918907,58.255944055944106,65.48920428547632,58.255944055944106,65.48920428547632
sorted_curves,3.0,77.0,76.06740549509192,68.59650349650356,75.0383161095636,68.59650349650356,75.0383161095636
sorted_curves,4.0,78.0,79.21970357714603,75.09510489510497,80.38289422140994,75.09510489510497,80.38289422140994
sorted_curves,5.0,79.0,79.53493338535145,78.80000000000021,82.65416540360803,78.80000000000021,82.65416540360803
sorted_curves,6.0,80.0,82.37200165920017,82.27552447552469,83.72697547349125,82.27552447552469,83.72697547349125
sorted_curves,7.0,82.0,82.68723146740558,84.05734265734289,83.52123107652736,83.52123107652736,84.05734265734289
sorted_curves,8.0,82.8,84.26338050843265,84.63193473193495,84.24868448007831,84.24868448007831,84.63193473193495
sorted_curves,9.0,83.0,85.20906993304888,87.86899766899766,85.06504885517418,85.06504885517418,87.86899766899766
sorted_curves,10.0,95.0,85.83952954945971,91.0962703962704,85.6260697376097,85.6260697376097,91.0962703962704
sorted_curves,11.0,96.0,85.83952954945971,94.03216783216781,85.93137972667577,85.93137972667577,94.03216783216781
sorted_curves,12.0,96.1,85.83952954945971,96.39510489510486,85.98061142166355,85.98061142166355,96.39510489510486
sorted_curves,13.0,97.0,85.83952954945971,97.90349650349646,85.77339742186416,85.77339742186416,97.90349650349646
